epoch,loss,train_accuracy,validation_accuracy
0,3.5970332411018537,0.15513333333333335,0.1676
10,3.541099692702831,0.207,0.2146
20,3.433257268960795,0.22037777777777778,0.2258
30,3.5045070940060095,0.2268888888888889,0.234
40,3.508482630543495,0.23213333333333333,0.2384
50,3.4432112310264893,0.2346888888888889,0.24
60,3.448198750862173,0.2364888888888889,0.2446
70,3.44968126468477,0.23826666666666665,0.2456
80,3.355314844516816,0.23977777777777778,0.2454
90,3.3957212912068604,0.2414888888888889,0.2484
100,3.358894647627478,0.2427111111111111,0.2488
110,3.4341588311557283,0.24364444444444444,0.2502
120,3.4356366836602747,0.24493333333333334,0.252
130,3.404733387931357,0.24551111111111112,0.252
140,3.3794342155699364,0.24624444444444443,0.2528
149,3.3833725343489105,0.24713333333333334,0.2536
